Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PPP,+/-,PIM,EV Goals,PP Goals,SH Goals,GWG,EV Assists,PP Assists,SH Assists,S,S%,ATOI,BLK,HIT,FOW,FOL,FO%
503,Michael Dal Colle,23,NYI,LW,53,4,6,10,0,-8,12,4,0,0,0,6,0,0,59,6.8,11:48,21,81,5,2,71.4
504,Dylan DeMelo,26,WPG,D,59,0,10,10,0,4,37,0,0,0,0,8,0,2,74,0,20:09,77,105,0,0,
505,Nathan Gerbe,32,CBJ,C,30,4,6,10,0,-7,22,4,0,0,0,6,0,0,55,7.3,13:45,8,46,6,6,50
506,Gaetan Haas,28,EDM,F,58,5,5,10,1,-1,6,5,0,0,0,4,1,0,54,9.3,9:42,28,58,172,236,42.2
507,Jayce Hawryluk,24,OTT,C,26,3,7,10,0,1,16,3,0,0,0,7,0,0,26,11.5,11:06,9,65,4,8,33.3
508,Jujhar Khaira,25,EDM,LW,64,6,4,10,0,-19,38,6,0,0,1,4,0,0,69,8.7,12:32,30,136,34,32,51.5
509,Slater Koekkoek,25,CHI,D,42,1,9,10,0,3,42,1,0,0,1,9,0,0,47,2.1,16:45,58,64,0,0,
510,Dmitry Kulikov,29,WPG,D,51,2,8,10,0,-4,32,2,0,0,1,8,0,0,54,3.7,20:01,77,104,0,0,
511,Curtis Lazar,24,BUF,C,38,5,5,10,0,-3,9,5,0,0,0,4,0,1,33,15.2,11:50,24,70,185,176,51.2
512,Adam Lowry,26,WPG,LW,49,4,6,10,0,-4,23,3,0,1,1,5,0,1,68,5.9,14:58,22,137,349,300,53.8
513,Mackenzie MacEachern,25,STL,LW,51,7,3,10,0,2,33,7,0,0,2,3,0,0,63,11.1,8:57,13,82,1,3,25
514,Trevor Moore,24,LAK,LW,42,6,4,10,0,-4,6,6,0,0,0,3,0,1,60,10,12:54,17,60,4,10,28.6
515,Jamie Oleksiak,27,DAL,D,69,3,7,10,0,-6,41,3,0,0,1,7,0,0,76,3.9,15:49,59,153,0,0,
516,Tobias Rieder,27,CGY,C,55,4,6,10,0,-12,6,3,0,1,0,5,0,1,77,5.2,11:05,26,30,11,42,20.8
517,Evan Rodrigues,26,PIT,C,45,6,4,10,1,-8,14,5,1,0,1,4,0,0,75,8,11:17,15,24,121,136,47.1
518,Nicolas Roy,22,VEG,C,28,5,5,10,1,3,8,4,1,0,1,5,0,0,42,11.9,11:26,7,39,93,100,48.2
519,Luca Sbisa,30,WPG,D,44,2,8,10,0,1,37,2,0,0,0,8,0,0,49,4.1,17:56,71,91,0,0,
520,Andrew Shaw,28,CHI,C,26,3,7,10,2,-4,33,2,1,0,0,6,1,0,46,6.5,14:27,9,74,42,51,45.2
521,Kevin Stenlund,23,CBJ,C,32,6,4,10,5,2,8,3,3,0,1,2,2,0,57,10.5,13:59,22,19,52,77,40.3
522,Vladimir Tarasenko,28,STL,RW,10,3,7,10,3,-2,0,2,1,0,0,5,2,0,26,11.5,16:11,7,17,0,0,
523,Chris Wagner,28,BOS,C,67,6,4,10,0,-8,47,5,0,1,0,4,0,0,78,7.7,12:26,31,192,115,134,46.2
524,Jay Bouwmeester,36,STL,D,56,1,8,9,0,6,20,1,0,0,0,7,0,1,53,1.9,21:34,68,42,0,0,
525,Jacob de La Rose,24,STL,LW,50,2,7,9,0,2,10,2,0,0,0,7,0,0,46,4.3,10:43,16,120,118,156,43.1
526,Taylor Fedun,31,DAL,D,27,2,7,9,0,3,8,2,0,0,0,7,0,0,40,5,13:45,19,16,0,0,
527,Christian Fischer,22,ARI,RW,56,6,3,9,0,2,16,6,0,0,1,3,0,0,83,7.2,11:01,22,140,3,8,27.3
528,Luke Glendening,30,DET,C,60,6,3,9,0,-29,14,5,0,1,1,3,0,0,76,7.9,15:21,68,147,393,307,56.1
529,Erik Gudbranson,28,ANA,D,51,4,5,9,0,0,95,4,0,0,0,4,0,1,78,5.1,19:22,58,89,0,0,
530,Caleb Jones,22,EDM,D,43,4,5,9,1,-1,10,4,0,0,1,4,1,0,38,10.5,14:08,46,33,0,0,
531,Jordan Kyrou,21,STL,C,28,4,5,9,1,1,8,4,0,0,0,4,1,0,39,10.3,10:54,8,8,2,3,40
532,Josh Manson,28,ANA,D,50,1,8,9,0,-10,37,1,0,0,0,7,0,1,64,1.6,20:38,65,113,0,0,
533,Greg McKegg,27,NYR,C,53,5,4,9,0,-2,17,4,0,1,0,3,0,1,40,12.5,9:34,24,69,104,107,49.3
534,Brayden McNabb,29,VEG,D,71,2,7,9,0,1,40,1,0,1,0,7,0,0,73,2.7,20:01,133,201,0,0,
535,Casey Mittelstadt,21,BUF,C,31,4,5,9,2,-5,2,3,1,0,1,4,1,0,34,11.8,12:46,8,11,86,99,46.5
536,Ryan Murray,26,CBJ,D,27,2,7,9,2,-9,4,2,0,0,0,5,2,0,32,6.3,19:57,50,12,0,0,
537,Patrik Nemeth,27,DET,D,64,1,8,9,0,-10,28,1,0,0,1,7,0,1,89,1.1,22:02,92,80,0,0,
538,Frans Nielsen,35,DET,C,60,4,5,9,2,-13,8,3,0,1,0,2,2,1,86,4.7,13:41,35,44,210,246,46.1
539,Stefan Noesen,26,SJS,RW,40,7,2,9,1,-1,32,6,1,0,2,2,0,0,67,10.4,11:32,17,74,7,11,38.9
540,Markus Nutivaara,25,CBJ,D,37,3,6,9,1,2,4,3,0,0,0,5,1,0,47,6.4,15:55,33,35,0,0,
541,Joakim Nygard,27,EDM,F,33,3,6,9,1,0,8,2,1,0,0,6,0,0,39,7.7,10:41,8,18,3,3,50
542,Adam Pelech,25,NYI,D,38,1,8,9,0,4,20,1,0,0,0,6,0,2,49,2,21:08,83,81,0,0,
543,Kevin Rooney,26,NJD,C,49,4,5,9,0,8,20,2,0,2,0,4,0,1,59,6.8,11:44,32,64,175,197,47
544,Kris Russell,32,EDM,D,55,0,9,9,0,0,14,0,0,0,0,8,0,1,45,0,16:47,101,71,0,0,
545,Jonas Siegenthaler,22,WSH,D,64,2,7,9,0,11,43,2,0,0,1,7,0,0,49,4.1,15:44,105,51,0,0,
546,Radim Simek,27,SJS,D,48,2,7,9,0,-13,14,2,0,0,0,7,0,0,40,5,17:11,60,91,0,0,
547,Dmytro Timashov,23,DET,LW,44,4,5,9,0,1,16,4,0,0,1,5,0,0,37,10.8,8:32,11,93,0,0,
548,Mason Appleton,24,WPG,C,46,5,3,8,0,-9,20,4,0,1,0,3,0,0,55,9.1,11:10,12,20,5,8,38.5
549,Jay Beagle,34,VAN,RW,55,2,6,8,0,-9,38,1,0,1,1,5,0,1,49,4.1,12:34,42,69,401,277,59.1
550,Nathan Beaulieu,27,WPG,D,38,1,7,8,0,15,29,1,0,0,1,7,0,0,38,2.6,17:00,47,62,0,0,
551,Matt Benning,25,EDM,D,43,1,7,8,0,8,15,1,0,0,0,7,0,0,38,2.6,13:14,34,78,0,0,
552,Anthony Bitetto,29,WPG,D,51,0,8,8,0,3,32,0,0,0,0,7,0,1,54,0,15:10,50,145,0,0,
553,Josh Brown,26,FLA,D,56,3,5,8,0,1,39,3,0,0,1,5,0,0,48,6.3,13:25,53,77,0,0,
554,Logan Brown,21,OTT,C,23,1,7,8,3,0,4,0,1,0,1,5,2,0,23,4.3,11:45,11,13,55,79,41
555,Cody Ceci,26,TOR,D,56,1,7,8,0,7,20,1,0,0,1,7,0,0,48,2.1,20:32,79,92,0,0,
556,Dennis Cholowski,21,DET,D,36,2,6,8,5,-26,6,1,1,0,1,2,4,0,51,3.9,19:13,35,15,0,0,
557,Brian Dumoulin,28,PIT,D,28,1,7,8,1,17,10,0,0,1,0,6,1,0,35,2.9,21:03,35,44,0,0,
558,Martin Frk,26,LAK,RW,17,6,2,8,1,-1,4,5,1,0,1,2,0,0,26,23.1,13:50,3,14,0,0,
559,Brendan Guhle,22,ANA,D,30,4,4,8,0,-2,10,4,0,0,1,4,0,0,39,10.3,17:04,43,21,0,0,
560,Dan Hamhuis,37,NSH,D,60,0,8,8,0,6,35,0,0,0,0,8,0,0,44,0,14:31,53,64,0,0,
561,Scott Harrington,26,CBJ,D,39,1,7,8,0,-3,16,1,0,0,0,7,0,0,37,2.7,13:57,48,46,0,0,
562,Nick Jensen,29,WSH,D,68,0,8,8,1,1,13,0,0,0,0,7,1,0,61,0,17:49,71,59,0,0,
563,Vladislav Kamenev,23,COL,LW,38,1,7,8,2,-2,8,1,0,0,1,5,2,0,32,3.1,8:59,16,34,57,50,53.3
564,Jesperi Kotkaniemi,19,MTL,C,36,6,2,8,2,-11,23,5,1,0,0,1,1,0,55,10.9,13:00,16,51,125,167,42.8
565,Kurtis MacDermid,25,LAK,D,45,3,5,8,0,-9,47,3,0,0,0,4,0,1,51,5.9,13:43,43,95,0,0,
566,Matt Martin,30,NYI,LW,55,5,3,8,0,-1,40,5,0,0,2,3,0,0,49,10.2,10:25,24,242,3,4,42.9
567,Tyler Motte,24,VAN,C,34,4,4,8,0,-10,10,4,0,0,0,4,0,0,38,10.5,13:07,37,118,8,11,42.1
568,Bobby Ryan,32,OTT,LW,24,5,3,8,0,3,22,5,0,0,0,3,0,0,43,11.6,13:31,13,41,3,2,60
569,Rasmus Sandin,19,TOR,D,28,1,7,8,2,-7,10,1,0,0,1,5,2,0,22,4.5,14:19,22,33,0,0,
570,Andrej Sekera,33,DAL,D,57,2,6,8,0,9,14,1,0,1,0,6,0,0,63,3.2,18:00,75,34,0,0,
571,Brendan Smith,30,NYR,D,62,3,5,8,0,-12,71,2,0,1,0,4,0,1,45,6.7,11:06,41,90,1,0,100
572,Trevor van Riemsdyk,28,CAR,D,49,1,7,8,0,-7,10,1,0,0,0,7,0,0,58,1.7,14:52,37,21,0,0,
573,Jordie Benn,32,VAN,D,44,1,6,7,0,-7,17,1,0,0,1,6,0,0,58,1.7,16:17,62,45,0,0,
574,Zach Bogosian,29,TBL,D,27,1,6,7,0,0,22,1,0,0,0,5,0,1,29,3.4,16:38,27,30,0,0,
575,Cal Clutterbuck,32,NYI,RW,37,3,4,7,0,6,22,2,0,1,0,3,0,1,35,8.6,13:25,38,127,4,5,44.4
576,Trevor Daley,36,DET,D,43,0,7,7,2,-22,20,0,0,0,0,5,2,0,37,0,15:39,44,9,0,0,
577,Noah Dobson,20,NYI,D,34,1,6,7,1,-1,8,1,0,0,0,5,1,0,37,2.7,13:17,31,25,0,0,
578,Morgan Frost,20,PHI,C,20,2,5,7,0,-3,4,1,0,1,0,5,0,0,31,6.5,13:41,4,4,44,49,47.3
579,Carl Gunnarsson,33,STL,D,36,2,5,7,0,8,16,2,0,0,0,4,0,1,31,6.5,15:47,51,27,0,0,
580,Jansen Harkins,22,WPG,C,29,2,5,7,0,-2,5,2,0,0,0,5,0,0,29,6.9,10:37,10,8,0,5,0
581,Taro Hirose,23,DET,LW,26,2,5,7,5,-12,6,2,0,0,0,0,5,0,21,9.5,12:33,16,13,0,5,0
582,Mark Jankowski,25,CGY,C,56,5,2,7,0,-12,14,5,0,0,0,2,0,0,38,13.2,11:06,33,14,191,235,44.8
583,Mathieu Joseph,22,TBL,RW,37,4,3,7,0,-2,16,4,0,0,0,2,0,1,35,11.4,11:31,10,47,4,10,28.6
584,Joel Kellman,25,SJS,F,31,3,4,7,0,-1,4,3,0,0,1,3,0,1,31,9.7,11:35,18,28,112,126,47.1
585,Brett Kulak,26,MTL,D,56,0,7,7,0,-1,12,0,0,0,0,7,0,0,101,0,17:08,50,59,0,0,
586,Oliver Kylington,22,CGY,D,48,2,5,7,0,-6,16,2,0,0,0,5,0,0,37,5.4,13:42,34,36,0,0,
587,Jonathon Merrill,27,VEG,D,49,2,5,7,0,9,32,2,0,0,0,4,0,1,37,5.4,18:09,71,51,0,0,
588,Mirco Mueller,24,NJD,D,50,2,5,7,1,-13,23,2,0,0,0,4,1,0,29,6.9,17:39,91,63,0,0,
589,Joakim Nordstrom,27,BOS,C,48,4,3,7,0,-6,17,4,0,0,0,3,0,0,49,8.2,12:06,31,91,1,6,14.3
590,Juuso Riikola,26,PIT,D,36,1,6,7,2,3,6,1,0,0,0,4,2,0,38,2.6,13:53,24,74,0,0,
591,Jan Rutta,29,TBL,D,33,1,6,7,0,6,14,1,0,0,0,6,0,0,43,2.3,15:33,21,19,0,0,
592,Michael Stone,29,CGY,D,33,2,5,7,0,-5,16,2,0,0,0,5,0,0,57,3.5,16:19,54,52,0,0,
593,Antti Suomela,25,SJS,C,20,1,6,7,0,4,4,1,0,0,0,6,0,0,18,5.6,9:41,5,27,51,42,54.8
594,Gabriel Vilardi,20,LAK,C,10,3,4,7,2,0,4,2,1,0,0,3,1,0,19,15.8,12:51,4,1,49,43,53.3
595,Joey Anderson,21,NJD,RW,18,4,2,6,0,1,2,4,0,0,0,2,0,0,21,19,13:13,6,16,3,3,50
596,David Backes,35,ANA,C,22,1,5,6,1,-1,22,0,1,0,1,5,0,0,34,2.9,9:24,8,38,27,44,38
597,Robert Bortuzzo,30,STL,D,42,2,4,6,0,12,21,2,0,0,1,4,0,0,36,5.6,13:07,43,66,0,0,
598,Gabriel Bourque,29,WPG,LW,52,2,4,6,0,-1,7,2,0,0,0,4,0,0,33,6.1,8:36,40,125,2,3,40
599,Connor Carrick,25,NJD,D,29,1,5,6,0,-6,17,1,0,0,1,5,0,0,25,4,14:25,39,27,0,0,
600,Filip Chlapik,22,OTT,C,31,3,3,6,0,-7,10,3,0,0,1,3,0,0,27,11.1,8:46,11,71,12,19,38.7
601,Calvin de Haan,28,CHI,D,29,1,5,6,0,10,10,1,0,0,0,5,0,0,42,2.4,19:55,73,93,0,0,
602,Justin Dowling,29,DAL,C,29,3,3,6,0,-3,8,3,0,0,1,3,0,0,29,10.3,10:57,12,25,42,54,43.8
603,Deryk Engelland,37,VEG,D,49,1,5,6,0,6,37,1,0,0,1,4,0,1,59,1.7,17:33,86,114,0,0,
604,Oscar Fantenberg,28,VAN,D,36,1,5,6,1,-10,6,1,0,0,0,4,1,0,45,2.2,15:55,62,67,0,0,
605,Matthew Highmore,23,CHI,LW,36,2,4,6,0,-1,6,2,0,0,0,4,0,0,35,5.7,9:49,9,38,1,3,25
606,Karson Kuhlman,24,BOS,C,25,1,5,6,1,3,13,0,1,0,0,5,0,0,45,2.2,12:32,8,36,1,3,25
607,Tom Kuhnhackl,28,NYI,RW,28,3,3,6,0,-4,2,3,0,0,1,2,0,1,28,10.7,11:18,22,31,0,0,
608,Adam Larsson,27,EDM,D,49,1,5,6,0,0,35,1,0,0,0,5,0,0,61,1.6,19:50,82,112,0,0,
609,Par Lindholm,28,BOS,C,40,3,3,6,0,6,4,3,0,0,1,3,0,0,35,8.6,11:15,26,23,132,156,45.8
610,Zack MacEwen,23,VAN,C,17,5,1,6,0,6,20,5,0,0,0,1,0,0,17,29.4,9:37,5,41,1,1,50
611,Brett Ritchie,26,BOS,RW,27,2,4,6,1,-3,21,2,0,0,1,3,1,0,34,5.9,10:24,3,89,2,3,40
612,Chad Ruhwedel,29,PIT,D,41,2,4,6,0,4,12,2,0,0,0,4,0,0,44,4.5,14:46,25,74,0,0,
613,Scott Sabourin,27,OTT,F,35,2,4,6,0,-6,33,2,0,0,0,4,0,0,29,6.9,7:01,13,74,0,1,0
614,Tim Schaller,29,LAK,LW,53,5,1,6,0,-14,14,4,0,1,0,1,0,0,49,10.2,11:34,28,51,7,11,38.9
615,Nick Shore,27,WPG,C,63,3,3,6,0,1,20,3,0,0,0,3,0,0,45,6.7,9:11,20,55,211,170,55.4
616,Mitchell Stephens,22,TBL,C,38,3,3,6,0,-9,10,3,0,0,0,3,0,0,43,7,10:47,9,36,187,169,52.5
617,Yakov Trenin,23,NSH,C,21,2,4,6,0,1,9,2,0,0,0,4,0,0,25,8,9:44,9,46,3,1,75
618,Joseph Blandisi,25,PIT,C,21,2,3,5,0,-3,10,2,0,0,1,3,0,0,12,16.7,8:13,9,26,33,48,40.7
619,Adam Erne,24,DET,LW,56,2,3,5,0,-24,28,2,0,0,0,3,0,0,63,3.2,11:49,25,142,20,13,60.6
620,Micheal Ferland,27,VAN,LW,14,1,4,5,0,-3,7,1,0,0,0,4,0,0,15,6.7,9:48,2,40,2,0,100
621,Noah Gregor,21,SJS,C,28,3,2,5,2,-5,8,2,1,0,0,1,1,0,33,9.1,10:04,6,50,6,13,31.6
622,Libor Hajek,21,NYR,D,28,0,5,5,0,-4,12,0,0,0,0,5,0,0,23,0,15:59,44,24,0,0,
623,Tim Heed,29,SJS,D,38,1,4,5,1,-10,2,1,0,0,0,3,1,0,44,2.3,13:00,30,16,0,1,0
624,Ville Heinola,18,WPG,D,8,1,4,5,1,3,4,1,0,0,0,3,1,0,10,10,18:04,5,3,0,0,
625,Niklas Hjalmarsson,32,ARI,D,27,1,4,5,0,-2,14,1,0,0,0,3,0,1,18,5.6,18:46,45,20,0,0,
626,Stephen Johns,27,DAL,D,17,2,3,5,0,0,10,2,0,0,0,3,0,0,30,6.7,17:40,20,50,0,0,
627,Dean Kukan,26,CBJ,D,33,1,4,5,1,-9,12,0,1,0,0,4,0,0,51,2,15:58,28,24,0,0,
628,Jakob Lilja,26,CBJ,F,37,2,3,5,0,5,2,2,0,0,0,3,0,0,23,8.7,9:54,25,18,2,2,50
629,Bryan Little,32,WPG,RW,7,2,3,5,0,4,2,2,0,0,1,3,0,0,13,15.4,16:09,3,3,48,58,45.3
630,Matt Luff,22,LAK,RW,18,1,4,5,0,-5,2,1,0,0,0,4,0,0,25,4,10:22,5,16,0,3,0
631,Sami Niku,23,WPG,D,17,0,5,5,0,-2,12,0,0,0,0,5,0,0,27,0,16:10,19,16,0,0,
632,Zac Rinaldo,29,CGY,C,19,3,2,5,0,-1,34,3,0,0,2,2,0,0,19,15.8,8:16,8,69,0,0,
633,Patrick Russell,27,EDM,RW,45,0,5,5,0,-11,12,0,0,0,0,5,0,0,58,0,11:22,25,64,2,2,50
634,Joakim Ryan,26,LAK,D,35,1,4,5,0,-10,10,1,0,0,0,4,0,0,54,1.9,19:09,46,24,0,0,
635,Logan Shaw,28,WPG,RW,35,3,2,5,1,0,0,3,0,0,0,1,1,0,20,15,6:49,13,24,11,9,55
636,Riley Stillman,21,FLA,D,34,0,5,5,0,-3,14,0,0,0,0,5,0,0,39,0,19:07,57,59,0,0,
637,Jarred Tinordi,27,NSH,D,28,1,4,5,0,-1,34,1,0,0,0,3,0,1,20,5,16:37,36,71,0,0,
638,Dale Weise,31,MTL,RW,23,1,4,5,0,1,16,1,0,0,0,4,0,0,15,6.7,9:16,10,70,0,0,
639,Josh Anderson,25,CBJ,RW,26,1,3,4,0,-8,17,1,0,0,0,3,0,0,63,1.6,16:04,13,68,7,12,36.8
640,Mikkel Boedker,30,OTT,RW,20,2,2,4,0,-1,0,1,0,1,0,2,0,0,29,6.9,9:43,5,12,1,3,25
641,Jesper Boqvist,21,NJD,C,35,4,0,4,1,-11,8,3,1,0,0,0,0,0,41,9.8,10:57,16,37,5,11,31.3
642,Erik Brannstrom,20,OTT,D,31,0,4,4,1,-9,16,0,0,0,0,3,1,0,38,0,14:51,36,15,0,0,
643,Braydon Coburn,34,TBL,D,40,1,3,4,0,5,16,1,0,0,0,3,0,0,44,2.3,14:03,28,59,0,0,
644,Danny DeKeyser,29,DET,D,8,0,4,4,0,0,4,0,0,0,0,4,0,0,12,0,22:04,18,6,0,0,
645,Phillip Di Giuseppe,26,NYR,LW,20,1,3,4,0,1,2,1,0,0,0,3,0,0,35,2.9,11:17,20,38,0,2,0
646,Christoffer Ehn,23,DET,C,54,2,2,4,0,-21,2,2,0,0,0,2,0,0,36,5.6,10:25,18,59,96,130,42.5
647,Cameron Gaunce,29,TBL,D,3,1,3,4,0,2,4,1,0,0,0,3,0,0,5,20,11:52,2,5,0,0,
648,Morgan Geekie,21,CAR,C,2,3,1,4,0,3,2,3,0,0,0,1,0,0,4,75,11:47,4,1,12,10,54.5
649,Markus Granlund,26,EDM,C,34,3,1,4,0,-1,14,3,0,0,1,1,0,0,26,11.5,10:50,18,15,25,32,43.9
650,Carl Grundstrom,22,LAK,RW,13,0,4,4,0,2,8,0,0,0,0,4,0,0,16,0,12:46,4,29,0,0,
651,John Hayden,24,NJD,C,43,3,1,4,0,-2,77,3,0,0,1,1,0,0,39,7.7,9:43,27,87,4,15,21.1
652,Barrett Hayton,19,ARI,C,20,1,3,4,0,2,14,1,0,0,1,3,0,0,27,3.7,11:09,3,14,23,38,37.7
653,Korbinian Holzer,31,NSH,D,49,1,3,4,0,-2,37,1,0,0,0,2,0,1,39,2.6,16:02,96,97,0,0,
654,Dryden Hunt,24,FLA,LW,21,0,4,4,0,0,24,0,0,0,0,4,0,0,33,0,10:30,7,37,0,0,
655,Ross Johnston,25,NYI,LW,32,3,1,4,0,1,78,3,0,0,0,1,0,0,16,18.8,7:59,14,93,1,0,100
656,Isac Lundestrom,20,ANA,C,15,0,4,4,1,-2,0,0,0,0,0,3,1,0,10,0,13:55,8,5,65,74,46.8
657,Ilya Lyubushkin,25,ARI,D,51,0,4,4,0,4,18,0,0,0,0,4,0,0,41,0,14:11,53,151,0,0,
658,Josh Mahura,21,ANA,D,11,1,3,4,0,-3,2,1,0,0,0,3,0,0,11,9.1,16:14,11,2,0,0,
659,Martin Marincin,27,TOR,D,26,1,3,4,0,-1,14,1,0,0,1,3,0,0,28,3.6,15:12,43,22,0,0,
660,Dakota Mermis,26,NJD,D,10,1,3,4,0,7,4,1,0,0,0,3,0,0,17,5.9,19:13,21,20,0,0,
661,Brendan Perlini,23,DET,LW,40,1,3,4,0,-18,10,1,0,0,0,3,0,0,48,2.1,10:42,10,22,0,0,
662,Roman Polak,33,DAL,D,41,0,4,4,0,-6,24,0,0,0,0,4,0,0,34,0,16:40,94,104,0,0,
663,Aleksi Saarela,23,FLA,C,9,2,2,4,1,2,0,2,0,0,0,1,1,0,15,13.3,12:15,3,1,7,11,38.9
664,Brent Seabrook,34,CHI,D,32,3,1,4,1,1,8,2,1,0,1,1,0,0,40,7.5,18:09,61,52,0,0,
665,Alexander True,22,SJS,F,12,0,4,4,0,1,2,0,0,0,0,4,0,0,12,0,10:00,2,23,32,37,46.4
666,Colin Wilson,30,COL,C,9,0,4,4,0,6,0,0,0,0,0,4,0,0,12,0,12:38,2,8,3,4,42.9
667,Valentin Zykov,24,VEG,LW,15,1,3,4,1,-2,6,0,1,0,0,3,0,0,19,5.3,12:13,3,20,0,1,0
668,Justin Abdelkader,32,DET,LW,49,0,3,3,0,-14,25,0,0,0,0,3,0,0,40,0,11:32,26,103,38,31,55.1
669,Andrew Agozzino,29,ANA,LW,22,1,2,3,0,3,4,1,0,0,0,2,0,0,10,10,7:21,7,25,38,37,50.7
670,Rasmus Asplund,22,BUF,F,29,1,2,3,0,-4,6,1,0,0,0,1,0,1,36,2.8,10:50,7,20,49,65,43
671,Rudolfs Balcers,22,OTT,LW,15,1,2,3,0,-2,0,1,0,0,1,2,0,0,23,4.3,12:08,7,19,0,2,0
672,Kieffer Bellows,21,NYI,LW,8,2,1,3,0,3,2,2,0,0,1,1,0,0,11,18.2,10:39,4,12,0,0,
673,Alex Biega,31,DET,D,49,0,3,3,0,-9,24,0,0,0,0,3,0,0,55,0,16:25,46,115,0,0,
674,Adam Brooks,23,TOR,C,7,0,3,3,0,1,0,0,0,0,0,3,0,0,2,0,7:51,1,0,5,5,50
675,Austin Czarnik,27,CGY,C,8,2,1,3,1,1,0,1,1,0,0,1,0,0,9,22.2,10:11,2,1,2,4,33.3
676,Christian Djoos,25,ANA,D,11,1,2,3,1,3,0,1,0,0,0,1,1,0,13,7.7,19:06,12,2,0,0,
677,Andreas Englund,24,OTT,D,24,0,3,3,0,-8,12,0,0,0,0,3,0,0,10,0,10:54,16,58,0,0,
678,Jake Evans,23,MTL,C,13,2,1,3,0,1,0,2,0,0,0,1,0,0,14,14.3,10:21,5,16,29,27,51.8
679,Julien Gauthier,22,NYR,RW,17,0,3,3,0,1,8,0,0,0,0,3,0,0,10,0,8:17,7,15,1,2,33.3
680,Dennis Gilbert,23,CHI,D,21,1,2,3,0,-8,38,1,0,0,0,2,0,0,12,8.3,15:42,33,74,0,0,
681,Matt Irwin,32,ANA,D,36,0,3,3,0,-15,15,0,0,0,0,3,0,0,58,0,14:28,54,80,0,0,
682,Christian Jaros,23,OTT,D,13,0,3,3,0,-2,6,0,0,0,0,2,0,1,5,0,10:31,12,14,0,0,
683,Martin Kaut,20,COL,RW,9,2,1,3,1,-1,2,1,1,0,0,1,0,0,13,15.4,10:08,0,9,1,0,100
684,Stefan Matteau,25,CBJ,LW,9,2,1,3,0,0,5,2,0,0,0,1,0,0,18,11.1,12:22,10,27,0,0,
685,John Moore,29,BOS,D,24,2,1,3,0,-2,11,2,0,0,0,1,0,0,33,6.1,16:33,27,36,0,0,
